Url,Manual Tags,Abstract Note,Date,Date Added,Date Modified,Access Date,Key,Item Type,Publication Year,Author,Title
https://www.youtube.com/watch?v=ZKrhdyjGoM8,agile; devops; lean ,"DOES19 London — Do you want to increase organizational agility and flow across your large, old, bureaucratic, regulated, traditional enterprise? Do you want to or are you doing an Agile or DevOps Transformation? In this talk, Jon will share anti-patterns and then success patterns in adopting better ways of working, sharing lessons learnt the hard way, previously leading Ways of Working across a large, old, traditional, organization (80,000 people, 40 countries, 329 years old) and now working with many horses, not unicorns, on this topic. ""Sooner Safer Happier: Antipatterns and Patterns for Business Agility"" By Jon Smart (with Zsolt Berend, Myles Ogilvie, and Simon Rohrer) —Learn more about the book here: https://soonersaferhappier.com/ Better Value Sooner Safer Happier Jonathan Smart, Partner, Enterprise Agility, Deloitte Jon leads Deloitte’s Enterprise Agility practice in the UK, helping organisations to deliver Better Value Sooner Safer Happier, through the application of agile, lean and DevOps principles and practices, organisation-wide.   Previously, Jon was leading on Ways of Working globally across Barclays Bank, which is 328 years old, with 80,000 colleagues in 40 countries. After three years, teams are on average delivering three times as much in a third of the time with 23x fewer production incidents and the highest ever employee engagement scores.   Jon has 25 years’ experience of taking and leading an agile approach to change. He and his team is the winner in the category of “Best Internal Agile Team” at the Agile Awards 2016.   Jon is the founder of the Enterprise Agility Leaders Network, is a member of the Disciplined Agile advisory council, a member of the Business Agility Institute advisory council, a member of the Programming Committee for the DevOps Enterprise Summit, a guest speaker at London Business School and talks at 6-7 conferences a year. DOES19 London DOES 2019 EUR DevOps Enterprise Summit https://events.itrevolution.com/eur/",2019-07-01,2022-06-29 17:30:48,2022-06-29 17:30:48,2022-06-29 17:30:48,ZYZQ4PWE,videoRecording,2019,IT Revolution,Better Value Sooner Safer Happier - Jon Smart
https://blogs.vmware.com/industry-solutions/2021/02/08/why-digital-transformation-demands-a-culture-shift-alongside-the-tech/,culture change,"Change is intrinsic to the federal government. Leaders and employees must readily adapt to every shift in course, every new appointment, every new mandate. With the inauguration, the federal government is undergoing another change. However, there’s still one more shift that’s happening: Many federal agencies are undergoing digital transformation. IT transformation is at the … Continued",2021-02-08,2022-06-29 17:29:12,2022-06-29 17:29:12,2022-06-29 17:29:12,Q4CH9MV5,blogPost,2021,,Why Digital Transformation Demands a Culture Shift Alongside the Tech
https://hbr.org/2017/06/changing-company-culture-requires-a-movement-not-a-mandate,culture change,"Culture is like the wind. It is invisible, yet its effect can be seen and felt. When it is blowing in your direction it makes for smooth sailing. When it is blowing against you, everything is more difficult. For organizations seeking to become more adaptive and innovative, culture change is often the most challenging part of the transformation. But culture change can’t be achieved through top-down mandate. It lives in the collective hearts and habits of people and their shared perception of “how things are done around here.” Culture change needs to happen through a movement, not a mandate. To create a movement in your organization, start by framing the issue in terms that stir emotion and incite action; then mobilize more supporters by demonstrating quick wins. Broadcast these wins to an even wider audience by leveraging employees’ social networks, and using symbolism and pockets of innovation to keep momentum going. It’s important to start with actions, not new mission statements or company structures, because culture change only happens when people take action. Show people the change you want to see.",2017-06-20,2022-06-29 17:27:48,2022-06-29 17:27:48,2022-06-29 17:27:48,EAY5GFI9,magazineArticle,2017,"Walker, Bryan; Soule, Sarah A.","Changing Company Culture Requires a Movement, Not a Mandate"
https://jobs.netflix.com/culture,culture change,"Great entertainment thrills and inspires. It sparks laughter, tears, gasps and sighs, stirring our emotions...",,2022-06-29 17:30:40,2022-06-29 17:30:40,2022-06-29 17:30:40,PSVVWUMB,webpage,,,Netflix Culture — Seeking Excellence
https://vimeo.com/101506552,culture change,"Cost of Delay is a way of communicating the impact of time on value. Not just how valuable something is, but how urgent it is. The value that we miss out on when…",,2022-06-29 17:29:27,2022-06-29 17:29:27,2022-06-29 17:29:27,CAJMPEUZ,videoRecording,,,Cost of Delay – An Introduction
https://www.slideshare.net/reed2001/culture-1798664,culture change,,10:34:14 UTC,2022-06-29 17:29:35,2022-06-29 17:29:35,2022-06-29 17:29:35,YEHV4F7I,presentation,,Reed Hastings,Culture
https://www.youtube.com/watch?v=Yvfz4HGtoPc,cuture change,"This video is a snapshot of Spotify's approach to software enginering and people management in 2014. It has since come to be known as the ""Spotify Model"". I put it on Vimeo originally, but that account has some issues so I put a copy here.  DISCLAIMER: This video is a historical account from 2014. It is not maintained or updated, so it is not a description of how Spotify works today. Many people ask which tools were used. I hand-drew everything in ArtRage using a Wacom drawing tablet, and recorded the drawing and speaking using ScreenFlow. Full drawing:  https://www.dropbox.com/s/vybww3th1w9... Here is Part 2: https://www.youtube.com/watch?v=vOt4B... Original blog post: https://labs.spotify.com/2014/03/27/s... Want to translate this? You can contribute subtitles in your language here:  http://www.youtube.com/timedtext_vide...",2019-07-30,2022-06-29 17:30:44,2022-06-29 17:30:44,2022-06-29 17:30:44,ISHPALZ4,videoRecording,2019,Henrik Kniberg,Spotify Engineering Culture - Part 1
https://accelerationeconomy.com/cybersecurity/the-impact-of-multi-cloud-on-identity-access-management-iam/,cyber security; cloud security; governance; ciso; risk management; incident response; multicloud,"Multi-cloud services are often associated with their own identities, permissions, authentication, and authorization activities.",2022-04-26,2022-06-29 17:30:55,2022-06-29 17:30:55,2022-06-29 17:30:55,RAGQNUGX,webpage,2022,,The Impact of Multi-Cloud on Identity & Access Management (IAM)
https://www.wired.com/story/to-win-the-next-war-the-pentagon-needs-nerds/,federal; data science; technology; recruiting ,"Data scientists, coders, and other techies could prove decisive in future conflicts—if Uncle Sam can recruit them.",,2022-06-29 17:15:51,2022-06-29 17:15:51,2022-06-29 17:15:51,MGV7QQ2L,magazineArticle,,,"To Win the Next War, the Pentagon Needs Nerds"
https://anaisurl.com/kubernetes-rbac/,kubernetes; role based access control,"Kubernetes RBAC tutorial with two examples, using ServiceAccounts and openssl to create separate contexts for users",2022-02-10,2022-06-29 17:30:51,2022-06-29 17:30:51,2022-06-29 17:30:51,ZPV2CMA3,webpage,2022,,RBAC Explained with Examples
